#separator:tab
#html:false

# Espressioni comuni (Gyakori kifejezések)
Come va?	Hogy vagy?
Va bene	Jól van / Jól megy
Va abbastanza bene	Elég jól megy
Così così	Úgy-ahogy
Va molto bene!	Nagyon jól megy!
Va benissimo :-)	Szuperül megy! :-)

Come stai?	Hogy vagy? (tegező)
Sto abbastanza bene	Elég jól vagyok
Sto bene	Jól vagyok
Sto molto bene!	Nagyon jól vagyok!

# I giorni della settimana (A hét napjai)
il lunedì	hétfő
il martedì	kedd
il mercoledì	szerda
il giovedì	csütörtök
il venerdì	péntek
il sabato	szombat
la domenica	vasárnap

# I mesi dell'anno (Az év hónapjai)
il gennaio	január
il febbraio	február
il marzo	március
l'aprile	április
il maggio	május
il giugno	június
il luglio	július
l'agosto	augusztus
il settembre	szeptember
l'ottobre	október
il novembre	november
il dicembre	december

# Le stagioni dell'anno (Az évszakok)
la primavera	tavasz
l'estate	nyár
l'autunno	ősz
l'inverno	tél

# Oggetti e concetti comuni (Gyakori tárgyak és fogalmak)
l'acqua (f)	víz
l'aeroporto (m)	repülőtér
l'andiamo (m)	menjünk
l'avanti (m)	előre
i baci (m, pl)	csókok
il bene	jól
il bevi	iszol
la bici	bicikli
la birra	sör
i bambini (m, pl)	gyerekek
il buongiorno	jó reggelt / jó napot
il caffè corretto	alkoholos kávé
il calcio	foci
il cane	kutya
il cantare	énekelni
la carbonara	carbonara (olasz tésztaétel)
il cappuccino	kapucsínó
i carabinieri (m, pl)	csendőrség
la chiesa	templom
il ciao	szia
il coltello	kés
il comunque	mindenesetre
il coccodrillo	krokodil
la scimmia	majom
la scuola	iskola
lo scrivere	írni
il serpente	kígyó
la farina	liszt
il finito	kész / befejezett
il fine settimana	hétvége
il fiume	folyó
il forno	kemence / sütő
la fragola	eper
il fratello	fiútestvér
la frutta	gyümölcs
il gatto	macska
il gelato	fagylalt
il guidare	vezetni
l'insieme (m)	együtt
l'io (m) sono	én vagyok
il lavoro	munka
il latte	tej
la lezione	leckék
il limoncello	citromlikőr
il libro	könyv
la macchina	autó
la macelleria	hentesüzlet
la mamma	anya
la mano	kéz
il mare	tenger
il marito	férj
il mascarpone	mascarpone (olasz sajtkrém)
la moglie	feleség
la mortadella	mortadella (olasz felvágott)
la nonna	nagymama
il numero	szám
l'oliva (f)	olajbogyó
la pallanuoto	vízilabda
il pane	kenyér
la panna	tejszín
il panettone	panettone (karácsonyi kalács)
la pasticceria	cukrászda
la pasta	tészta
la piazza	tér
la pizza	pizza
la polizia	rendőrség
il prosciutto	sonka
i ragazzi (m, pl)	fiúk / srácok
il ristorante	étterem
il riso	rizs
le scimmie (f, pl)	majmok
la scusa	bocsánat
il serpente	kígyó
la settimana	hét (időszak)
il sole	nap (égitest)
il tiramisù	tiramiszú (olasz desszert)
il treno	vonat
l'uscita (f)	kijárat
la via	utca
il vino	bor
il vivo	élek
lo zoo	állatkert
lo zucchero	cukor

# Pronomi personali (Személyes névmások)
io	én
tu	te
lui	ő (hímnem)
lei	ő (nőnem)
Lei	Ön (udvarias forma)
noi	mi
voi	ti
loro	ők

# Pronomi possessivi (Birtokos névmások)
mio	enyém (hímnem, egyes szám)
mia	enyém (nőnem, egyes szám)
miei	enyéim (hímnem, többes szám)
mie	enyéim (nőnem, többes szám)

tuo	tiéd (hímnem, egyes szám)
tua	tiéd (nőnem, egyes szám)
tuoi	tiéid (hímnem, többes szám)
tue	tiéid (nőnem, többes szám)

suo	övé (hímnem, egyes szám)
sua	övé (nőnem, egyes szám)
suoi	övéi (hímnem, többes szám)
sue	övéi (nőnem, többes szám)

nostro	miénk (hímnem, egyes szám)
nostra	miénk (nőnem, egyes szám)
nostri	miéink (hímnem, többes szám)
nostre	miéink (nőnem, többes szám)

